集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：2月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
128	2月	路由器		420	1	个	420	分采	现金	1	420.00 		280.71 	280.71 	开掘	回风斜井
129	2月	U盘	128g	110	3	个	110	分采	现金	3	330.00 		73.52 	220.56 	开掘	回风斜井
130	2月	小音响		68	20	个	68	分采	现金	20	1,360.00 		45.45 	908.97 	开掘	回风斜井
131	2月	无线路由器		464	5	个	464	分采	现金	5	2,320.00 		310.12 	1550.59 	开掘	回风斜井
132	2月	电缆	KR3*10+1*6	59	500	米	59	分采	现金	500	29,500.00 		39.43 	19716.62 	开掘	回风斜井
133	2月	雨裤	大号	200	10	件	200	分采	现金	10	2,000.00 		133.67 	1336.72 	开掘	回风斜井
134	2月	订书机		60	5	个	60	分采	现金	5	300.00 		40.10 	200.51 	开掘	回风斜井
135	2月	订书针		3	5	盒	3	分采	现金	5	15.00 		2.01 	10.03 	开掘	回风斜井
136	2月	刷车拖把		80	5	把	80	分采	现金	5	400.00 		53.47 	267.34 	开掘	回风斜井
137	2月	刷车水桶		50	5	个	50	分采	现金	5	250.00 		33.42 	167.09 	开掘	回风斜井
138	2月	刷车手套		20	10	双	20	分采	现金	10	200.00 		13.37 	133.67 	开掘	回风斜井
139	2月	渡胶手套		14	183	双	14	分采	现金	183	2,562.00 		9.36 	1712.34 	开掘	回风斜井
140	2月	线手套	白色	6	70	双	6	分采	现金	70	420.00 		4.01 	280.71 	开掘	回风斜井
141	2月	车用小千斤顶		150	2	个	150	分采	现金	2	300.00 		100.25 	200.51 	开掘	回风斜井
142	2月	车用换胎扳手	十字	90	2	个	90	分采	现金	2	180.00 		60.15 	120.30 	开掘	回风斜井
143	2月	打印纸	A4	47	20	包	47	分采	现金	20	940.00 		31.41 	628.26 	开掘	回风斜井
144	2月	记录本	硬皮	17	10	本	17	分采	现金	10	170.00 		11.36 	113.62 	开掘	回风斜井
145	2月	木板	3mm×150mm×6000mm	110	120	根	110	分采	现金	120	13,200.00 		73.52 	8822.35 	开掘	回风斜井
146	2月	木板	5mm×150mm×6000mm	175	135	根	175	分采	现金	135	23,625.00 		116.96 	15790.00 	开掘	回风斜井
147	2月	水管	φ50	64.5	600	米	64.5	分采	现金	600	38,700.00 		43.11 	25865.53 	开掘	回风斜井
148	2月	密封垫	φ50	5	100	个	5	分采	现金	100	500.00 		3.34 	334.18 	开掘	回风斜井
149	2月	法兰盘	φ50	47	200	个	47	分采	现金	200	9,400.00 		31.41 	6282.58 	开掘	回风斜井
150	2月	弯头	φ50	30	30	个	30	分采	现金	30	900.00 		20.05 	601.52 	开掘	回风斜井
151	2月	螺丝、螺母	16*50mm	27	68	Kg	27	分采	现金	68	1,836.00 		18.05 	1227.11 	开掘	回风斜井
152	2月	角铁	50	25	120	m	25	分采	现金	120	3,000.00 		16.71 	2005.08 	开掘	回风斜井
153	2月	钢管	25	35	120	m	35	分采	现金	120	4,200.00 		23.39 	2807.11 	开掘	回风斜井
154	2月	钢管	20	30	120	m	30	分采	现金	120	3,600.00 		20.05 	2406.10 	开掘	回风斜井
155	2月	抓丁		5.1	200	个	5.1	分采	现金	200	1,020.00 		3.41 	681.73 	开掘	回风斜井
156	2月	灭火器		165	20	个	165	分采	现金	20	3,300.00 		110.28 	2205.59 	开掘	回风斜井
157	2月	电池	1#	4	50	节	4	分采	现金	50	200.00 		2.67 	133.67 	开掘	回风斜井
158	2月	线卡	10mm	10	25	包	10	分采	现金	25	250.00 		6.68 	167.09 	开掘	回风斜井
159	2月	线卡	10mm	10	25	包	10	分采	现金	25	250.00 		6.68 	167.09 	开掘	回风斜井
160	2月	木板	0.025×0.2×6m	120	130	块	120	分采	现金	130	15,600.00 		80.20 	10426.41 	开掘	回风斜井
161	2月	立杆（方木）	0.05×0.05×6m	69	60	块	69	分采	现金	60	4,140.00 		46.12 	2767.01 	开掘	回风斜井
162	2月	二保焊机	220V	1800	1	台	1800	分采	现金	1	1,800.00 		1,203.05 	1203.05 	开掘	回风斜井
163	2月	增压泵	扬程50米	850	1	台	850	分采	现金	1	850.00 		568.11 	568.11 	开掘	回风斜井
1	2月	电表	台	800	2	台	650		现金	2	1,300.00 		434.43 	868.87 	开掘	回风斜井
2	2月	变压器	台	100	6	台	80		现金	6	480.00 		53.47 	320.81 	开掘	回风斜井
3	2月	接线端子	个	10	3	个	10		现金	3	30.00 		6.68 	20.05 	开掘	回风斜井
4	2月	接线端子	个	19	1	个	19		现金	1	19.00 		12.70 	12.70 	开掘	回风斜井
5	2月	电线	米	4	5	米	4		现金	5	20.00 		2.67 	13.37 	开掘	回风斜井
6	2月	锅	个	80	1	个	75		现金	1	75.00 		50.13 	50.13 	开掘	回风斜井
7	2月	木板长6米*宽150cm*厚5	块	190.83	60	块	190.83		现金	60	11,449.80 		127.54 	7652.59 	开掘	回风斜井
8	2月	1.5米床床垫	套	2320	1	张	2320		现金	1	2,320.00 		1,550.59 	1550.59 	开掘	回风斜井
9	2月	床垫	张	1350	6	张	1350		现金	6	8,100.00 		902.29 	5413.71 	开掘	回风斜井
10	2月	被褥	套	300	8	套	300		现金	8	2,400.00 		200.51 	1604.06 	开掘	回风斜井
11	2月	拖把	把	110	6	把	110		现金	6	660.00 		73.52 	441.12 	开掘	回风斜井
12	2月	扫把	把	45	6	把	45		现金	6	270.00 		30.08 	180.46 	开掘	回风斜井
13	2月	抹布	条	5	20	条	5		现金	20	100.00 		3.34 	66.84 	开掘	回风斜井
14	2月	软管	米	12	20	米	20		现金	12	240.00 		13.37 	160.41 	开掘	回风斜井
15	2月	油污净	瓶	40	6	瓶	40		现金	6	240.00 		26.73 	160.41 	开掘	回风斜井
16	2月	地板刷	把	95	6	把	95		现金	6	570.00 		63.49 	380.97 	开掘	回风斜井
17	2月	木板	块	190	55	块	183.42		现金	55	10,088.10 		122.59 	6742.48 	开掘	回风斜井
18	2月	木板	块	180	64	块	179.02		现金	64	11,457.28 		119.65 	7657.59 	开掘	回风斜井
19	2月	绳卡	个	5	30	个	5		现金	30	150.00 		3.34 	100.25 	开掘	回风斜井
20	2月	钢管	根	80	50	根	73		现金	50	3,650.00 		48.79 	2439.51 	开掘	回风斜井
21	2月	钢制品材料	块	75	50	块	73		现金	50	3,650.00 		48.79 	2439.51 	开掘	回风斜井
22	2月	篷布	块	240	5	块	240		现金	5	1,200.00 		160.41 	802.03 	开掘	回风斜井
23	2月	铁链	条	15	20	条	13		现金	20	260.00 		8.69 	173.77 	开掘	回风斜井
24	2月	抓顶	个	3	97	个	2.7		现金	97	261.90 		1.80 	175.04 	开掘	回风斜井
25	2月	木板长6米*宽150cm*厚5	块	50	170	块	50		现金	170	8,500.00 		33.42 	5681.06 	开掘	回风斜井
26	2月	木板长6米*宽150cm*厚5	块	45	99	块	40		现金	99	3,960.00 		26.73 	2646.70 	开掘	回风斜井
27	2月	铁链	个	8	100	个	6		现金	100	600.00 		4.01 	401.02 	开掘	回风斜井
28	2月	拖把	把	120	1	把	115.1		现金	1	115.10 		76.93 	76.93 	开掘	回风斜井
29	2月	保险柜	个	2800	1	个	2800		现金	1	2,800.00 		1,871.41 	1871.41 	开掘	回风斜井
30	2月	钢尺7,5M	把	25	7	把	25		现金	7	175.00 		16.71 	116.96 	开掘	回风斜井
31	2月	钢笆网	卷	240	3	卷	240		现金	3	720.00 		160.41 	481.22 	开掘	回风斜井
32	2月	橡胶手套	双	4	20		4		现金	20	80.00 		2.67 	53.47 	开掘	回风斜井
33	2月	门扣	双	4	5		4		现金	5	20.00 		2.67 	13.37 	开掘	回风斜井
34	2月	40三角铁	米	13	456		13		现金	456	5,928.00 		8.69 	3962.04 	开掘	回风斜井
35	2月	直径100管子	米	72	30		72		现金	30	2,160.00 		48.12 	1443.66 	开掘	回风斜井
36	2月	直径50管子	米	52.5	250		52.5		现金	250	13,125.00 		35.09 	8772.22 	开掘	回风斜井
37	2月	直径100法兰盘	个	58	10		58		现金	10	580.00 		38.76 	387.65 	开掘	回风斜井
38	2月	直径50法兰盘	个	35	100		35		现金	100	3,500.00 		23.39 	2339.26 	开掘	回风斜井
39	2月	16MM*50MM螺丝	公斤	24	30		24		现金	30	720.00 		16.04 	481.22 	开掘	回风斜井
40	2月	法兰垫子50	个	3.5	70		3.5		现金	70	245.00 		2.34 	163.75 	开掘	回风斜井
41	2月	法兰垫子100	个	8	10		8		现金	10	80.00 		5.35 	53.47 	开掘	回风斜井
42	2月	洗车机	台	850	1		850		现金	1	850.00 		568.11 	568.11 	开掘	回风斜井
43	2月	木板6米*150mm*10MM	块	124.8	50		124.8		现金	50	6,240.00 		83.41 	4170.57 	开掘	回风斜井
44	2月	木板6米*150mm*10MM	块	208	218		208		现金	218	45,344.00 		139.02 	30306.11 	开掘	回风斜井
45	2月	木板6米*100mm*10MM	块	97.2	20		97.2		现金	20	1,944.00 		64.96 	1299.29 	开掘	回风斜井
46	2月	床垫	张	1100	4		1100		现金	4	4,400.00 		735.20 	2940.78 	开掘	回风斜井
47	2月	扫把	套	80	20		80		现金	20	1,600.00 		53.47 	1069.38 	开掘	回风斜井
48	2月	被褥	套	300	7		300		现金	7	2,100.00 		200.51 	1403.56 	开掘	回风斜井
49	2月	水桶	个	40	10		40		现金	10	400.00 		26.73 	267.34 	开掘	回风斜井
50	2月	垃圾桶	个	45	20		45		现金	20	900.00 		30.08 	601.52 	开掘	回风斜井
51	2月	拖把80CM	个	120	10		120		现金	10	1,200.00 		80.20 	802.03 	开掘	回风斜井
52	2月	拖把60CM	个	100	6		100		现金	6	600.00 		66.84 	401.02 	开掘	回风斜井
53	2月	拖把50CM	个	80	5		80		现金	5	400.00 		53.47 	267.34 	开掘	回风斜井
